,Title,Author,Issue,Type ,Description,Date
0,Address at a Joint Session with the American Library Association,"Gilbert, Frank B.",Issue 1,comments,The Law Library,1908
1,Classification of Law Textbooks,"Berry, W. J. C.",Issue 1,notes,,1908
2,Legislative Reference Work and the Law Library,"Lester, C. B.",Issue 3,notes,,1908
3,Cataloguing Law Books with Special Reference to Cooperative Indexing and Index Cards,"Glasier, Gilson G.",Issue 3,notes,,1908
4,The Bibliography of Canadian Statute Law,"Eakins, W. George",Issue 3,notes,,1908
5,"Coke's Reports, and the Anonymous Commentary on Littleton","Seymour, Charles B.",Issue 1,article,,
6,Some By-Products from Worcester County Law Library,"Wire, G. E.",Issue 1,article,,
7,Recent Developments in International and Municipal Law,"Borchard, Edwin M.",Issue 2,article,,
8,The Need for College Instruction in the Use of Law Books,"Foote, Mary S.",Issue 2,article,,
9,Law and Legislative Reference as Parts of a State Library,"Cobb, Maud B.",Issue 3,article,,
10,County Law Libraries and Their Services to the Community,"Wheeler, Sumner York",Issue 3,article,,
11,From the Editor: A New Century,"Sinder, Janet",Issue 1,comments,Comment,2008
12,Preserving Our Heritage: Protecting Law Library Core Missions through Updated Library Quality Assessment Standards,"Lee, Sarah Hooke",Issue 1,article,,2008
13,Discovering William Cook: Ten Sources for Reconstructing the Life of a Lawyer,"Leary, Margaret A.",Issue 1,article,,2008
14,Does Form Follow Function - Academic Law Libraries' Organizational Structures for Collection Development ,"Lenz, Connie",Issue 1,article,,2008
15,Does Form Follow Function - Academic Law Libraries' Organizational Structures for Collection Development ,"Wohl, Helen",Issue 1,article,,2008
16,Choosing the Top Candidate: Best Practices in Academic Law Library Hiring,"Wheeler, Ronald E.",Issue 1,article,,2008
17,Choosing the Top Candidate: Best Practices in Academic Law Library Hiring,"Johnson, Nancy P.",Issue 1,article,,2008
18,Choosing the Top Candidate: Best Practices in Academic Law Library Hiring,"Manion, Terrance K.",Issue 1,article,,2008
19,The Essential Law Library Journal,"Houdek, Frank G.",Issue 1,article,Law Library Journal Centennial Feature,2008
20,Keeping up with New Legal Titles,"Atchison, Amy",Issue 1,article,Review Article,2008
21,Keeping up with New Legal Titles,"Cadra, Laura",Issue 1,article,Review Article,2008
22,"Law Librarian, J.D. or Not J.D.","Whisner, Mary",Issue 1,article,Practicing Reference...,2008
23,Office E-Mail: Burden or Blessing,"Holcomb, Jean M.",Issue 1,article,Managing by the Book...,2008
24,What Is All the Fuss about Library 2.0,"Murley, Diane",Issue 1,article,Technology for Everyone...,2008
25,Robert L. Oakley: In Memoriam,"Bedard, Laura A.",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
26,Robert L. Oakley: In Memoriam,"Jayasuriya, H. Kumar",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
27,Robert L. Oakley: In Memoriam,"Monroe, Barbara R.",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
28,Robert L. Oakley: In Memoriam,"Raisch, Marylin J.",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
29,"Georgetown Law Center Memorial Service November 6, 2007","Neal, James G.",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
30,Remembering Bob Oakley,"Alford, Duncan",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
31,Remembering Bob Oakley,"Anderson, Steven P.",Issue 2,comments,Special Feature: A Tribute to Robert L. Oakley,2008
32,"En la Tierra del Ciego, el Tuerco es Rey: Problems with Current English-Spanish Legal Dictionaries, and Notes toward a Critical Comparative Legal Lexicography ","Kim-Prieto, Dennis C.",Issue 2,article,,2008
33,An Unexpected Story: The History and Origins of Princeton's Long-Standing Tradition of Interdisciplinary Legal Scholarship,"Hollander, David A.",Issue 2,article,,2008
34,Comparative Evaluation of Online Machine Translation Systems with Legal Texts,"Kit, Chunyu",Issue 2,article,,2008
35,Comparative Evaluation of Online Machine Translation Systems with Legal Texts,"Wong, Tak Ming",Issue 2,article,,2008
36,Congressional Investigations: A Bibliography ,"Mantel, Matthew",Issue 2,article,,2008
37,Law Library Journal: The First Fifty Years,"Davies, Bernita J.",Issue 2,notes,Law Library Journal Centennial Feature,2008
38,Keeping up with New Legal Titles,"Atchison, Amy",Issue 2,article,Review Article,2008
39,Keeping up with New Legal Titles,"Cadra, Laura",Issue 2,article,Review Article,2008
40,"Dreaded Bluebook,The","Whisner, Mary",Issue 2,article,Practicing Reference...,2008
41,Web Site Accessibility,"Murley, Diane",Issue 2,article,Technology for Everyone...,2008
42,Legal Education and Technology II: An Annotated Bibliography ,"Goldman, Pearl ",Issue 3,article,,2008
